ED_x,ED_y
31368.15762,-3086.056835
31368.15825,-3086.030629
31368.15887,-3086.004423
31368.1595,-3085.978217
31368.16013,-3085.952011
31368.16076,-3085.925804
31368.1614,-3085.899598
31368.16203,-3085.873392
31368.16266,-3085.847185
31368.1633,-3085.820979
31368.16393,-3085.794772
31368.16457,-3085.768565
31368.16521,-3085.742358
31368.16585,-3085.716152
31368.16649,-3085.689945
31368.16713,-3085.663738
31368.16777,-3085.637531
31368.16841,-3085.611324
31368.16905,-3085.585117
31368.16969,-3085.55891
31368.17034,-3085.532703
31368.17099,-3085.506496
31368.17163,-3085.480289
31368.17228,-3085.454082
31368.17293,-3085.427875
31368.17359,-3085.401668
31368.17424,-3085.375461
31368.17489,-3085.349254
31368.17555,-3085.323047
31368.1762,-3085.29684
31368.17686,-3085.270634
31368.17751,-3085.244427
31368.17817,-3085.21822
31368.17883,-3085.192013
31368.17949,-3085.165807
31368.18015,-3085.1396
31368.18081,-3085.113394
31368.18147,-3085.087187
31368.18213,-3085.060981
31368.1828,-3085.034775
31368.18346,-3085.008569
31368.18413,-3084.982363
31368.1848,-3084.956157
31368.18547,-3084.929951
31368.18614,-3084.903745
31368.18681,-3084.87754
31368.18748,-3084.851335
31368.18816,-3084.825129
31368.18884,-3084.798924
31368.18952,-3084.772719
31368.1902,-3084.746515
31368.19088,-3084.72031
31368.19157,-3084.694105
31368.19225,-3084.667901
31368.19294,-3084.641697
31368.19363,-3084.615493
31368.19432,-3084.589289
31368.19502,-3084.563086
31368.19571,-3084.536882
31368.19641,-3084.510679
31368.19711,-3084.484476
31368.19781,-3084.458273
31368.19851,-3084.432071
31368.19921,-3084.405869
31368.19992,-3084.379666
31368.20062,-3084.353465
31368.20133,-3084.327263
31368.20204,-3084.301062
31368.20276,-3084.274861
31368.20348,-3084.24866
31368.2042,-3084.222459
31368.20493,-3084.196259
31368.20566,-3084.17006
31368.2064,-3084.143861
31368.20715,-3084.117662
31368.2079,-3084.091463
31368.20866,-3084.065265
31368.20943,-3084.039067
31368.2102,-3084.012869
31368.21099,-3083.986669
31368.21178,-3083.960467
31368.21258,-3083.934262
31368.21338,-3083.908054
31368.21419,-3083.881841
31368.21501,-3083.855625
31368.21583,-3083.829412
31368.21665,-3083.803203
31368.21748,-3083.776998
31368.21831,-3083.750796
31368.21914,-3083.724593
31368.21997,-3083.698384
31368.2208,-3083.672162
31368.22163,-3083.645919
31368.22246,-3083.619645
31368.22329,-3083.593326
31368.22413,-3083.56694
31368.22496,-3083.540455
31368.22579,-3083.513828
31368.22663,-3083.487005
31368.22747,-3083.459922
31368.22832,-3083.432502
31368.22919,-3083.404655
31368.23007,-3083.376276
31368.23097,-3083.347249
31368.23189,-3083.317444
31368.23285,-3083.28672
31368.23384,-3083.25492
31368.23486,-3083.221879
31368.23594,-3083.187424
31368.23707,-3083.151381
31368.23826,-3083.113568
31368.23951,-3083.073802
31368.24084,-3083.031901
31368.24225,-3082.98768
31368.24375,-3082.940962
31368.24534,-3082.891568
31368.24704,-3082.839317
31368.24884,-3082.784037
31368.25077,-3082.725559
31368.25281,-3082.663726
31368.25496,-3082.598388
31368.25721,-3082.52941
31368.25959,-3082.456665
31368.2621,-3082.380042
31368.26476,-3082.299444
31368.26757,-3082.214785
31368.27052,-3082.125998
31368.27363,-3082.033027
31368.27689,-3081.935831
31368.28031,-3081.834381
31368.28391,-3081.728658
31368.2877,-3081.61865
31368.29167,-3081.504352
31368.29583,-3081.385759
31368.30017,-3081.262874
31368.3047,-3081.135696
31368.30942,-3081.00423
31368.31432,-3080.868483
31368.31942,-3080.728463
31368.32473,-3080.584182
31368.33024,-3080.435655
31368.33596,-3080.282902
31368.34191,-3080.125947
31368.34807,-3079.96482
31368.35447,-3079.799553
31368.36105,-3079.631895
31368.36776,-3079.462965
31368.37468,-3079.290054
31368.38186,-3079.112597
31368.3893,-3078.930593
31368.39702,-3078.744143
31368.40503,-3078.553384
31368.41332,-3078.358455
31368.42191,-3078.159477
31368.43077,-3077.956555
31368.43992,-3077.749781
31368.44934,-3077.539234
31368.45904,-3077.324986
31368.46903,-3077.107098
31368.4793,-3076.885624
31368.48986,-3076.660611
31368.50072,-3076.432102
31368.51188,-3076.200137
31368.52334,-3075.964757
31368.5351,-3075.726002
31368.54718,-3075.483608
31368.55962,-3075.236506
31368.57243,-3074.984827
31368.58562,-3074.728871
31368.59917,-3074.468917
31368.61308,-3074.205212
31368.62734,-3073.937971
31368.64195,-3073.667385
31368.6569,-3073.393629
31368.67218,-3073.116874
31368.6878,-3072.837285
31368.70376,-3072.555026
31368.72006,-3072.27026
31368.7367,-3071.983151
31368.75367,-3071.693862
31368.77097,-3071.402554
31368.78859,-3071.109391
31368.80655,-3070.814529
31368.82483,-3070.518122
31368.84343,-3070.220318
31368.86236,-3069.92126
31368.8816,-3069.621083
31368.90116,-3069.31991
31368.92103,-3069.017855
31368.94121,-3068.715019
31368.9617,-3068.411498
31368.98248,-3068.107383
31369.00357,-3067.80276
31369.02497,-3067.497712
31369.04666,-3067.192322
31369.06864,-3066.886666
31369.09093,-3066.580816
31369.1135,-3066.274831
31369.13636,-3065.968766
31369.15951,-3065.662665
31369.18293,-3065.356566
31369.20662,-3065.0505
31369.23059,-3064.744494
31369.25482,-3064.438575
31369.27931,-3064.132765
31369.30406,-3063.827086
31369.32905,-3063.521561
31369.35429,-3063.216212
31369.37977,-3062.911063
31369.40548,-3062.606137
31369.43143,-3062.301457
31369.45761,-3061.997044
31369.48401,-3061.692917
31369.51065,-3061.389096
31369.53753,-3061.085597
31369.56464,-3060.782435
31369.592,-3060.479624
31369.6196,-3060.177174
31369.64745,-3059.875096
31369.67556,-3059.573398
31369.70392,-3059.272088
31369.73255,-3058.97117
31369.76145,-3058.67065
31369.79061,-3058.370532
31369.82004,-3058.07082
31369.84974,-3057.771519
31369.87971,-3057.47263
31369.90996,-3057.174158
31369.94049,-3056.876105
31369.97128,-3056.578472
31370.00235,-3056.281263
31370.03369,-3055.984478
31370.06529,-3055.688118
31370.09716,-3055.392185
31370.12928,-3055.09665
31370.16166,-3054.801502
31370.19429,-3054.506801
31370.22716,-3054.212547
31370.26028,-3053.918739
31370.29365,-3053.625377
31370.32727,-3053.332459
31370.36113,-3053.039983
31370.39524,-3052.747949
31370.4296,-3052.456356
31370.46422,-3052.165203
31370.49909,-3051.87449
31370.53423,-3051.584218
31370.56963,-3051.294384
31370.60531,-3051.004989
31370.64128,-3050.716034
31370.67754,-3050.427518
31370.7141,-3050.139443
31370.75098,-3049.851808
31370.78817,-3049.564614
31370.82569,-3049.277861
31370.86355,-3048.991551
31370.90175,-3048.705683
31370.9403,-3048.42026
31370.97922,-3048.135282
31371.01851,-3047.850751
31371.05818,-3047.566668
31371.09824,-3047.283033
31371.13869,-3046.999848
31371.17953,-3046.717114
31371.22079,-3046.434832
31371.26244,-3046.153003
31371.30451,-3045.871627
31371.347,-3045.590707
31371.3899,-3045.310243
31371.43324,-3045.030236
31371.47701,-3044.75069
31371.52122,-3044.471605
31371.56589,-3044.192985
31371.61101,-3043.91483
31371.6566,-3043.637143
31371.70266,-3043.359926
